"id","lectureName","lectureId","department","course","semester","classSize","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","thirteen","fourteen","fifteen","sixteen","seventeen","eighteen","nineteen","content","attendance","session","date_created"
26,"Kwabena Oteng-Boahen","4760","Pharmaceutical Sciences","PHAD144 Human Anatomy & Physiology Practical II (Alpha & Beta)","First Semester","256","5","1","5","5","2","2","2","5","5","2","2","5","2","2","Immune system ","The heart ","Urinary system ","Pls take your time when teaching .You are tooo fast for some us ","Also please refrain from looking down on some students just because they asked you a question ",,,,
27,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","258","2","1","5","3","5","2","2","1","4","3","2","1","1","2","The content ","Understanding ","Nothing really just how he teaches ","He should take his time when teaching and he should focus on his part. He should only do a slight summary of the part before his if he deems it necessary but not the entire thing like he always does cos doing so makes it next to impossible for him to finish what he’s actually supposed to teach us.","Patience o!",,,,
28,"Alfred Quarcoo","4850","Real Estate","REES 108 Finacial Mathemeatics II","Second Semester","17","5","5","5","5","5","5","5","5","5","5","5","5","5","4","Almost all the parts ","All aspects ","Amortization ","That more question and more time will be allocated for financial maths ","That more time will be allocated for maths ",,,,
29,"Alfred Quarcoo","4850","Real Estate","REES 108 Finacial Mathemeatics II","First Semester","17","5","5","5","5","5","5","5","5","5","5","5","5","5","5","test","test","test","test",,,,,
30,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Hydrocarbon ","Ethers ","None","Increase in time ","More assessments ",,,,
31,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","3","1","5","3","1","1","1","1","1","1","5","5","5","5","None","All","All","Advice ","Advice",,,,
32,"David Mintah","4676","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","4","4","5","3","4","3","4","3","3","3","3","3","3","3","Exposure to new information ","None","None","None ","None",,,,
33,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","First Semester","258","5","2","5","3","2","5","1","1","1","1","1","2","1","2","inorganic chemistry","organic chemistry(the full course)","organic chemistry","please talk to him","tell him to follow the work",,,,
34,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","158","4","2","5","5","3","3","4","2","2","3","3","4","5","3","Introduction was quite interesting ","Alkanes was easy to understand ","Most of the topics","Issues should be addressed systematically and ample time should be given for accumulation ","Everything should be taken one step at a time",,,,
35,"Akua Frema Barfour","4706","Pharmaceutical Sciences","PHAD152 Introductory Pharmacognosy (Alpha & Beta)","First Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Knowledge about plants ","Plant cell, fibers ","None ","Not much. She’s good ","More quizzes to know how her questions are ",,,,
36,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","258","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything was helpful ","None","None","None ","More time for lectures ",,,,
37,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","258","3","1","4","5","2","1","4","3","3","1","2","4","3","2","Oral test ","His slides ","The fact that he teaches other lectures topics and not his ","Let him focus on the topics assigned to him ",,,,,
38,"Prince Nartey-Addy Amoyaw","4728","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","258","3","2","5","5","2","2","2","3","3","3","2","3","2","2","The slides ","Organic chemistry ","Everything ","He has one hour every week.Please when he comes to class, he uses more than 35 minutes to do recap and the rest of the 25 minutes will be for learning something small. This cycle repeats itself every week so we are almost always at one point. If he could change his teaching approach. ",,,,,
39,"Peace Mawunyo Doe","4789","N/A","N/A","Second Semester","N/A","4","5","5","5","5","4","4","3","2","3","4","3","2","5","N/A","N/A","Lymphatic system ","N/A",,,,,
40,"Philip Nortey","4753","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","258","4","5","5","5","5","4","3","3","2","3","3","3","3","4","N/A","N/A","Alkyl and Aryl Halides ","It is mostly difficult to hear him when he's teaching with or without the microphones if not for that then I think he's good. ",,,,,
41,"David Mintah","4676","Pharmaceutical Sciences","PHAD112 Organic Pharmaceutical Chemistry I (Alpha & Beta)","Second Semester","258","4","5","5","5","5","4","5","5","5","4","5","3","3","5","N/A","N/A","N/A","N/A",,,,,
42,"Gustave Amuzu","5221","Computer Science","COMP412 Expert Systems","First Semester","38","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Oh ","my","God","Good ",,,,,
43,"Rev. Yaw Danquah","5240","Faculty of Law","LAW 104 Constitutional Law II","First Semester","70","3","3","3","4","2","2","2","4","3","4","3","3","2","3","most of it","IT config","the ending","more praticals",,,,,
44,"Yaw Osei Ofori","5161","Agribusiness","CBAG308 Econometrics Application to Agribusiness","First Semester","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Most of it","Most of it","Most of it","All",,,,,
45,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Production ","None","None","None",,,,,
46,"Akua Agyeiwaa Afrane","5188","N/A","N/A","Second Semester","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","None ","None ","None ","More room for improvement ",,,,,
47,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Production","None","None","None",,,,,
48,"Akua Agyeiwaa Afrane","5188","N/A","N/A","Second Semester","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","None ","None ","None ","More room for improvement ",,,,,
49,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","assignments ","midsem","tests","her teaching is very good",,,,,
50,"Akua Agyeiwaa Afrane","5188","N/A","N/A","Second Semester","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything ","None","None","None",,,,,
51,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","4","5","5","5","5","3","3","3","4","3","5","3","4","Production ","Marketing ","We didn’t do presentations ","There should at least be two presentations ",,,,,
52,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","5","4","5","4","4","4","5","4","5","4","5","4","4","Production ","None ","None ","None",,,,,
53,"Akua Agyeiwaa Afrane","5188","N/A","N/A","First Semester","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect","No aspect","None","Keep the good work",,,,,
54,"Akua Agyeiwaa Afrane","5188","N/A","N/A","Second Semester","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","every little detail of the exploration of food and agriculture. ","none, the course intrigued me actually ","definitely loved all of it","so far so good",,,,,
55,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything ","None ","None ","There is nothing to improve she is the best of all ",,,,,
56,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything ","Nothing ","Nothing ","Nothing ",,,,,
57,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Marketing","None","None","More interaction between students and lecturers",,,,,
58,"Akua Agyeiwaa Afrane","5188","N/A","N/A","First Semester","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect","No aspect","None","Keep the good work",,,,,
59,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every course ","None","None","Nothing",,,,,
60,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","5","5","4","5","4","4","4","5","5","5","5","5","Everything ","Nowhere ","I liked it all ","She is always punctual and deliveries on point",,,,,
61,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","4","5","5","5","5","5","5","5","5","5","5","All the aspects ","Production sector","Marketing ","More interactions between students",,,,,
62,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","4","5","5","5","5","5","5","5","5","5","5","All the aspects ","Production sector","Marketing ","More interactions between students",,,,,
63,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect ","No aspect ","No aspect ","No suggestion because she has improved already ",,,,,
64,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","No aspect ","None","She should continue her hardwork",,,,,
65,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","No aspect ","None","She should continue her hardwork",,,,,
66,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","4","3","5","5","5","5","5","5","5","Production ","Marketing ","None","More attractions with the students ",,,,,
67,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","5","5","5","4","4","3","3","5","3","5","4","3","3","All aspect","test","none","Engage the students in the class more with questions so that the class will be active",,,,,
68,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect ","No aspect ","No aspect ","No suggestions ",,,,,
69,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Marketing ","None","None ","None",,,,,
70,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects was helpful ","None was difficult ","I disliked none","Based on the lecture we’ve had so far, I think I might find it helpful to incorporate more interactive activities in the course to keep students engaged and promote active learning.",,,,,
71,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","None","None","Making the course more practical ",,,,,
72,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","5","4","5","4","4","4","5","5","4","5","5","4","Marketing and production","Input supply sector","Input supply sector","Use of more examples and interactions",,,,,
73,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None","None","Microphones for better hearing ",,,,,
74,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","5","4","5","5","5","4","3","3","3","4","5","2","Marketing ","Production ","None ","No idea ",,,,,
75,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None ","None ","Nothing ",,,,,
76,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","4","4","5","3","3","5","Management of poultry ","Marketing in Agribusiness ","None ","Though Lecturer Akua Agyeiwaa Afrane teaches well, there should be adequate motivation so that it will help her students to learn more ",,,,,
77,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","4","4","5","5","5","4","4","5","5","3","5","5","Production ","None ","None","...",,,,,
78,"Christopher Krebeti","5275","MKT","CBMK 204 Advertising Principles and Practice","Second Semester","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Every aspect ","No aspect ","No aspect ","In person class",,,,,
79,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","4","5","4","3","4","3","4","5","3","5","Everything ","Marketing","None","No suggestions ",,,,,
80,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","4","5","4","3","4","3","4","5","3","5","Everything ","Marketing","None","No suggestions ",,,,,
81,"Christopher Krebeti","5275","MKT","CBMK 204 Advertising Principles and Practice","Second Semester","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","None","None","All","Should be punctual in class, less having class virtually, interaction between students l, response to students concerns ",,,,,
82,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Production ","Nothing ","Nothing ","Keep it up ",,,,,
83,"Christopher Krebeti","5275","MKT","CBMK 204 Advertising Principles and Practice","Second Semester","6","2","2","2","1","2","2","2","2","2","2","1","2","2","1","Marketing ","None","None ","Improve upon his response to students ",,,,,
84,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects was helpful","None ","None","Adding of pictures to back topics will make it extremely amazing and enable student recall quickly",,,,,
85,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","4","4","4","4","4","5","5","4","4","5","4","5","5","5","Introduction ","Marketing ","Production ","It was helpful ",,,,,
86,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Transitions to human resource lectures.","Competitive margin screening forecasts in production agriculture.","None.","None.",,,,,
87,"Dr. Andrews Kwablah","5378","BKF ","CBFW 102 Business Statistics","Second Semester","20","5","5","5","5","5","2","2","2","5","2","5","5","2","3","Probability ","None ","Spearman’s rank correlation ","Improve upon interaction with students",,,,,
88,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Marketing , production and introduction to agribusiness ","None ","None ","She should keep it up. She’s a very good lecturer and am glad I met her ",,,,,
89,"Christopher Krebeti","5275","MKT","CBMK 204 Advertising Principles and Practice","Second Semester","","5","5","3","5","4","5","5","4","5","5","2","5","3","3","Every aspect ","No aspect ","No aspect ","There should be more in-person classes",,,,,
90,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","5","4","5","5","4","5","5","5","5","5","5","5","Introduction ","Marketing","Production ","It was helpful ",,,,,
91,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","3","2","2","3","5","5","4","3","3","2","4","3","2","3","Managing the agribusiness ","Supply chain management ","None ","Students should be given the opportunity to have a real life experience of what agribusiness entails ",,,,,
92,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","3","5","4","4","4","5","3","4","4","5","5","5","4","It's easy to do your private research on the course and get ahead on the class ","It can be a little bit complicated and if one is not careful in studying it topic by topic.","None so far ","No",,,,,
93,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","4","3","5","4","4","4","5","3","4","4","5","5","5","4","It's easy to do your private research on the course and get ahead on the class ","It can be a little bit complicated and if one is not careful in studying it topic by topic.","None so far ","No",,,,,
94,"Dr. Andrews Kwablah","5378","BKF ","CBFW 102 Business Statistics","Second Semester","20","2","1","2","2","3","1","1","2","2","1","1","2","2","1","Probability ","None ","Statistics ","He should interact more and solve questions in class",,,,,
95,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","4","3","4","4","5","4","4","4","4","4","5","4","The content in the book ","The assignments ","None","We have access to the documents but if we could also get the slides for better understanding so both of them  ",,,,,
96,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","4","3","4","4","5","4","4","4","4","4","5","4","The content in the book ","The assignments ","None","We have access to the documents but if we could also get the slides for better understanding so both of them  ",,,,,
97,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Production ","None ","None ","None",,,,,
98,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","None ","None ","Keep it up ",,,,,
99,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","5","5","4","5","4","4","4","5","4","5","4","5","Everything ","Nowhere ","Non ","She is punctual and always deliver well ",,,,,
100,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","4","4","3","4","4","3","4","5","3","5","All of it","Marketing ","None","No suggestions ",,,,,
101,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","3","4","5","5","2","5","Processing ","Production ","Introduction to agribusiness ","Discuss assignment with the students ",,,,,
102,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything ","No aspect ","No aspect ","She is already excellent ",,,,,
103,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All the aspects","None of the aspects","The terms in the slides","More past papers available to students ",,,,,
104,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Almost everything","None","None","Nothing ",,,,,
105,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","2","5","5","5","Production of Agribusiness/Agricultural ","None","None","Study hard and ask for further explanation when necessary. ",,,,,
106,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects ","None ","None ","Keep it up ",,,,,
107,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","4","5","5","5","5","5","5","Introduction ","Marketing ","None ","It was helpful ",,,,,
108,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects","None","None","None. I admire her commitment",,,,,
109,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","4","4","4","4","5","5","5","5","None","None","None","Field trips should be included to make students understand the course better ",,,,,
110,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Production ","None ","None ","Keep it up ",,,,,
111,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","None ","None","None","None",,,,,
112,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All","None","None","Microphones to amplify her voice for better hearing ",,,,,
113,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Introduction of the course ","Production aspect","Marketing aspect ","Assignment should be giving often",,,,,
114,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything ","None","None","She is just perfect ",,,,,
115,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects were helpful","None","None","Adding picture to back topics will enhance quicker recalls of students when questioned",,,,,
116,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Everything","No Aspect","No Aspect","The course and the lecturer are both Excellent",,,,,
117,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","4","5","5","4","5","4","4","4","5","4","5","4","5","Everything ","Nowhere ","Non ","She is punctual and always deliver well ",,,,,
118,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","4","5","4","4","4","5","3","4","4","5","5","5","5","It's easy to do your private research on the course and get ahead of the class ","It can be a little bit complicated and if one is not careful in studying it topic by topic.","None so far ","No",,,,,
119,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","No aspect ","No aspect ","No aspect ","No improved the course has been improved already ",,,,,
120,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Agricultural Marketing ","None","None","Practical Aspect ",,,,,
121,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","2","2","4","4","2","5","4","2","Her delivery is on point","First slide","First slide","If they can break the first slide to our understanding 🥹",,,,,
122,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","4","4","5","5","5","5","4","5","5","5","5","5","Agro Processing sector ","Marketing sector ","No aspect","More of practical work like field trips to farm sites",,,,,
123,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","First Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All aspects of the course was helpful ","None of the aspects were difficult ","None ","Based on my observation, I think I found it helpful to incorporate more interactive activities in the course to keep students engaged and promote active learning.",,,,,
124,"Akua Agyeiwaa Afrane","5188","Agribusiness","CBFW108 Introduction to Agribusiness Management","Second Semester","207","5","5","5","5","5","5","5","5","5","5","5","5","5","5","All topics were helpful","None ","None","She's been consistent and committed. I wish it continues.",,,,,
